0.805655338	-0.189189189	-0.714285714	-1	14.133
0.091405862	-0.243243243	-0.428571429	-1	17.498
-0.443010162	-0.378378378	-0.714285714	0.666666667	7.277
0.098804133	-0.756756757	-1	0.333333333	13.381
-0.409090909	-0.756756757	-0.428571429	-0.333333333	12.753
-0.59569378	-0.135135135	-0.428571429	0.333333333	10.125
-0.529083943	-0.081081081	-0.142857143	-1	12.046
-0.522754426	-0.297297297	-0.428571429	0.333333333	10.887
0.148683093	-0.324324324	-0.714285714	-0.666666667	11.375
-1	-0.432432432	-0.428571429	-1	10.946
-1	-0.756756757	-1	0	9.144
-0.38369367	0.243243243	-0.714285714	1	5.75
-0.624131221	-0.324324324	-1	0.333333333	7.747
-0.339198436	-0.054054054	-0.714285714	-1	9.312
-0.366447985	1	-0.714285714	-0.333333333	11.951
-0.000739098	-0.324324324	0.142857143	-1	9.516
-0.414718615	-1	-1	-0.333333333	11.307
-1	-0.783783784	-0.714285714	-0.666666667	6.586
-0.438771274	-0.054054054	-0.428571429	-1	10.471
-1	-0.72972973	-0.714285714	-1	4.422
1	-0.486486486	-0.714285714	-0.666666667	10.483
-0.399271305	-0.243243243	-0.142857143	-0.333333333	18.054
0.032849504	-0.486486486	1	-0.666666667	8.329
0.575757576	-0.459459459	-0.714285714	-1	11.146
-0.105030891	-0.513513514	-0.428571429	-1	7.7
-0.406236276	0.378378378	-1	0.333333333	9.118
-0.204471903	-0.27027027	0.142857143	-1	9.515
-1	-0.864864865	-1	0	8.247
-0.068870523	-0.648648649	-0.428571429	0.333333333	7.839
-0.554677207	-1	-0.428571429	-1	10.054
-1	-0.567567568	-0.142857143	-1	9.098
-0.759473403	-0.27027027	-0.428571429	-0.666666667	12.073
-1	-0.675675676	0.142857143	-1	10.099
