-0.904761905	-0.844705882	-1	5.645
-1	-0.016470588	-1	13.708
-0.904761905	0.220168067	-1	9.997
-0.714285714	0.121568627	-1	11.819
-0.619047619	-0.094117647	-1	11.736
-0.80952381	-0.798692811	-1	8.797
-0.714285714	0.121568627	-1	10.049
-0.80952381	-0.667226891	-1	5.919
-0.904761905	0.515966387	-1	9.279
-0.714285714	-0.108496732	-1	9.755
-1	0.515966387	0.545663993	6.277
-0.714285714	0.121568627	-1	10.003
-1	1	-1	9.642
-0.904761905	-0.016470588	-1	14.955
-0.904761905	0.121568627	-1	9.703
-0.714285714	-1	-1	12.637
-0.80952381	0.652488687	-1	9.605
-1	0.515966387	-1	9.338
-0.904761905	-0.844705882	-1	6.903
-0.904761905	-0.19394958	-1	6.328
1	-0.223529412	-1	9.019
-0.714285714	-0.667226891	-1	10.118
-0.80952381	-0.706666667	1	9.642
-0.904761905	-0.741176471	-1	7.389
-1	0.121568627	-1	8.738
