-0.6	-0.705882353	0.333333333	13.022
-0.6	-0.285714286	0.286458333	5.645
-0.2	-0.62962963	1	11.428
-0.2	-0.6875	0.809523809	15.298
-0.6	1	0.266666667	0.767
0.2	0.162790698	-0.24	9.651
-1	-1	0.021505376	10.164
0.2	0	-1	9.931
1	-0.84375	0.809523809	10.697
-0.6	-0.6	0.407407407	8.868
-0.2	-0.0625	0.583333333	11.595
-1	-1	-0.296296296	11.114
-0.6	-0.444444445	0.583333333	11.641
-1	-1	0.407407407	11.108
1	-0.565217391	-0.208333333	8.112
-0.2	-1	-1	10.051
-0.6	-0.090909091	0.583333333	11.79
-0.6	-1	0.490196078	8.571
-0.2	-1	-1	10.761
-1	-0.411764706	-0.010416667	8.438
0.6	-1	0.583333333	10.319
-0.2	0.153846154	0.407407407	7.523
-0.6	-0.705882353	-0.188034188	12.778
1	-1	0.151515151	7.805
